58 80.7
58 80.6
58 80.6
58 80.6
58 80.6
158 81.1
158 81.1
158 81.1
158 81.1
158 81.1
258 81.6
258 81.6
258 81.6
258 81.5
258 81.6
358 82.1
358 82.1
358 82.1
358 82.1
358 82.1
458 82.5
458 82.5
458 82.6
458 82.5
458 82.5
558 83.0
558 83.0
558 83.0
558 83.0
558 83.0
658 83.5
658 83.5
658 83.5
658 83.5
658 83.5
758 83.9
758 84.0
758 84.0
758 83.9
758 83.9
858 84.4
858 84.4
858 84.4
858 84.4
858 84.4
958 84.9
958 84.9
958 84.9
958 84.9
958 84.9
1058 85.3
1058 85.4
1058 85.4
1058 85.4
1058 85.4
1158 85.8
1158 85.9
1158 85.8
1158 85.8
1158 85.9
1258 86.3
1258 86.3
1258 86.3
1258 86.3
1258 86.3
1358 86.8
1358 86.8
1358 86.8
1358 86.8
1358 86.8
1458 87.2
1458 87.3
1458 87.3
1458 87.3
1458 87.2
