58 0.116
58 0.097
58 0.105
58 0.103
58 0.101
158 0.091
158 0.108
158 0.108
158 0.106
158 0.106
258 0.113
258 0.113
258 0.117
258 0.108
258 0.105
358 0.123
358 0.111
358 0.122
358 0.123
358 0.110
458 0.127
458 0.121
458 0.114
458 0.116
458 0.112
558 0.131
558 0.130
558 0.135
558 0.127
558 0.130
658 0.116
658 0.122
658 0.135
658 0.127
658 0.122
758 0.135
758 0.132
758 0.134
758 0.136
758 0.138
858 0.140
858 0.136
858 0.144
858 0.151
858 0.146
958 0.147
958 0.139
958 0.142
958 0.138
958 0.143
1058 0.152
1058 0.146
1058 0.154
1058 0.152
1058 0.147
1158 0.143
1158 0.162
1158 0.147
1158 0.151
1158 0.142
1258 0.135
1258 0.161
1258 0.158
1258 0.160
1258 0.149
1358 0.158
1358 0.161
1358 0.158
1358 0.155
1358 0.165
1458 0.175
1458 0.164
1458 0.164
1458 0.167
1458 0.165
